gene_symbol	GSM4037819_hair_cell_mean	GSM4037820_hair_cell_mean	cochlear_hair_cell_expression	hair_cell_sample_count	hair_cell_developmental_consistency
AKR7A2	0.0261759920713902	-0.250831480857314	-0.11232774439296189	2	0.75096595915633
PQLC2	0.183398625554201	-0.121184063673963	0.031107280940118998	2	0.7046062084340451
CAPZB	-0.00373111367298871	-0.227547562759823	-0.11563933821640585	2	0.7993827920727016
MINOS1	-0.052397212993507	-0.150832539518433	-0.10161487625597	2	0.9106445195625211
NBL1	-0.415470647942978	-0.730072715374884	-0.572771681658931	2	0.799969651602533
TMCO4	-0.261595673461228	0.541327597456694	0.13986596199773302	2	0.29559851974988716
OTUD3	0.895400422482207	1.0518870067636	0.9736437146229034	2	0.9207118371355631
PLA2G5	-0.0445387371101416	-0.0320032539147396	-0.0382709955124406	2	0.9879265786585755
PLA2G2C	0.189559795901018	-0.0147074662829386	0.08742616480903971	2	0.8121552811635468
UBXN10-AS1	0.224516899072312	-0.0894641067221651	0.06752639617507346	2	0.7058798668403283
UBXN10	1.23000985876589	0.268763911696746	0.749386885231318	2	0.4505240920780994
CAMK2N1	1.51224678852056	2.76683058215621	2.139538685338385	2	0.6003923125730082
MUL1	0.174136616756283	0.0884303082832405	0.13128346251976175	2	0.9242397583695383
FAM43B	-0.115230224947699	-0.18768308772081	-0.15145665633425448	2	0.9370772122645329
CDA	-0.0819853941489371	-0.210052083949891	-0.14601873904941404	2	0.8882507890689632
PINK1	-0.0348449035874234	-0.0224439965109242	-0.0286444500491738	2	0.9879444184276633
PINK1-AS	-0.102374964215856	-0.071647538372495	-0.0870112512941755	2	0.9717321915419206
DDOST	-0.444804268607844	-0.714493223154988	-0.579648745881416	2	0.8292728334382576
KIF17	0.029535407082813	0.118941901308889	0.074238654195851	2	0.9167722238658378
HP1BP3	-0.0186546205145065	-0.0560752971593959	-0.0373649588369512	2	0.9639271826890665
EIF4G3	-0.0675254703426011	-0.113263630500029	-0.09039455042131506	2	0.9580535686465461
ECE1	0.0463686079464039	0.165040306274585	0.10570445711049445	2	0.8926732206196379
NBPF3	0.0130200635412485	0.0111273992350848	0.012073731388166649	2	0.9981299146025975
ALPL	-0.0793141244865498	-0.142949197977548	-0.1111316612320489	2	0.9427294930823606
RAP1GAP	0.0964248604541198	-0.102220663172322	-0.0028979013591010974	2	0.8019284681349492
USP48	0.343955504868628	0.232148984596005	0.2880522447323165	2	0.9131972163940767
LDLRAD2	-0.0479505368251493	-0.062245902680146	-0.05509821975264765	2	0.9864511515730279
HSPG2	-0.211214646319395	-0.117371559763283	-0.16429310304133898	2	0.919399087471207
RP1-224A6.3		-0.0355658703169149	-0.0355658703169149	1	1.0
LINC00339	0.079699111735666	0.00597818348230546	0.04283864760898573	2	0.9293074451906942
CDC42	0.426058113983482	0.317816956649801	0.3719375353166415	2	0.9211034361643156
WNT4	-0.10015400444603	-0.0229110066866732	-0.0615325055663516	2	0.9272344489176562
ZBTB40	0.466828321232794	0.704714243853885	0.5857712825433395	2	0.849987242649799
EPHA8		-0.0424056526231515	-0.0424056526231515	1	1.0
C1QA	-0.0281706171037539	-0.0394168629669994	-0.03379374003537665	2	0.9891213832820649
C1QC	0.073998028906783	-0.07355188441503	0.00022307224587650443	2	0.8524829936281033
C1QB	0.132968324743785	-0.0716572113482889	0.030655556697748054	2	0.8014607938003067
